pause_sec,log_pause,rms_before,rms_after,rms_ratio,energy_slope,rate_before,rate_after,rate_delta,last_segment_dur,segment_dur_ratio,vowel_energy_ratio,word_dur_ratio,n_segments,segment_variability,spectral_flux,pitch_mean,pitch_drop,voiced_fraction,y,source
0.0,-4.60517,0.214641,0.230083,0.93288,0.0127549,5.0,2.5,-2.5,0.13,1.56,1.45843,1.56,3,0.064291,0.0513104,107.69,2.37357,0.263158,0,dudh
0.0,-4.60517,0.22046,0.148119,1.48838,-0.00403042,0.0,5.0,5.0,0.01,1.0,1.0,1.0,40,0.0,0.0218054,89.3888,0.422241,0.263158,0,dudh
0.0,-4.60517,0.283099,0.255752,1.10692,-0.000343553,0.0,0.0,0.0,0.01,1.0,1.0,1.0,40,0.0,0.00615221,115.704,-35.2604,0.894737,0,dudh
0.03,-3.21888,0.0932542,0.263927,0.353332,-0.0100877,2.5,0.0,-2.5,0.03,0.2,1.36088,0.2,2,0.169706,0.0191953,205.695,-170.428,0.210526,0,dudh
0.0,-4.60517,0.260173,0.216668,1.20079,0.0168226,2.5,5.0,2.5,0.01,1.0,1.0,1.0,1,0.0,0.0300891,103.442,0.0,0.210526,0,dudh
0.18,-1.66073,0.154294,0.287799,0.536115,-0.0131522,5.0,5.0,0.0,0.26,1.85714,1.51377,1.85714,2,0.169706,0.0235491,184.602,-39.7779,0.421053,1,dudh
0.0,-4.60517,0.285924,0.202571,1.41147,0.0203891,2.5,7.5,5.0,0.15,1.57895,1.57976,1.57895,2,0.0777817,0.0479249,136.96,0.0,0.526316,0,dudh
0.0,-4.60517,0.202571,0.237596,0.852584,0.00534191,5.0,7.5,2.5,0.13,0.83871,1.54506,0.83871,2,0.0353553,0.0442712,156.486,-29.363,0.421053,0,dudh
0.0,-4.60517,0.234875,0.245137,0.958135,0.0176381,5.0,7.5,2.5,0.08,0.827586,1.51037,0.827586,3,0.0288675,0.0421119,146.997,0.0,0.315789,0,dudh
0.0,-4.60517,0.196318,0.111151,1.7662,-0.00806607,2.5,2.5,0.0,0.18,1.5,1.74675,1.5,2,0.0848528,0.0239053,96.2225,-1.43155,0.526316,0,dudh
0.0,-4.60517,0.292557,0.189032,1.54765,0.00110308,2.5,2.5,0.0,0.19,1.35714,1.36533,1.35714,2,0.0707107,0.0410734,102.465,2.17011,0.789474,0,dudh
0.51,-0.653926,0.00780101,0.198234,0.0393522,0.000258321,5.0,10.0,5.0,0.03,0.3,2.45516,0.3,2,0.0989949,0.00206088,0.0,0.0,0.0,0,dudh
0.0,-4.60517,0.219082,0.249952,0.876492,0.00322528,7.5,2.5,-5.0,0.06,0.96,1.37579,0.96,4,0.0403113,0.0591917,100.342,-21.4415,0.315789,0,dudh
0.0,-4.60517,0.216559,0.125426,1.72657,-0.0176884,5.0,2.5,-2.5,0.16,1.28,1.08146,1.28,2,0.0494975,0.020781,105.604,-0.40097,0.473684,0,dudh
0.0,-4.60517,0.0924142,0.207374,0.445638,0.00107851,5.0,2.5,-2.5,0.02,0.25,1.37245,0.25,3,0.0793725,0.0321678,98.1595,0.0,0.0526316,0,dudh
0.0,-4.60517,0.214416,0.0864136,2.48124,0.00383935,5.0,2.5,-2.5,0.17,2.125,1.48988,2.125,3,0.0793725,0.0278403,96.2046,4.2344,0.473684,0,dudh
0.62,-0.462035,0.200829,0.340935,0.58905,-0.01929,2.5,2.5,0.0,0.2,1.37931,2.54776,1.37931,2,0.0777817,0.0439387,139.033,-63.0943,0.157895,1,dudh
0.06,-2.65926,0.331201,0.247979,1.33559,-0.00834958,2.5,5.0,2.5,0.3,1.0,1.34281,1.0,1,0.0,0.0424464,177.997,17.4513,1.0,0,dudh
0.0,-4.60517,0.264399,0.220974,1.19651,0.00945777,2.5,5.0,2.5,0.16,1.06667,1.75672,1.06667,2,0.0141421,0.0540158,145.628,38.5142,0.789474,0,dudh
0.0,-4.60517,0.278731,0.228765,1.21841,0.000121427,0.0,0.0,0.0,0.01,1.0,1.0,1.0,40,0.0,0.011327,138.768,-59.9301,1.0,0,dudh
0.03,-3.21888,0.030362,0.215363,0.14098,8.73841e-05,0.0,5.0,5.0,0.18,1.0,1.56489,1.0,1,0.0,0.0053078,0.0,0.0,0.0,0,dudh
0.0,-4.60517,0.21496,0.266134,0.807713,0.0158773,7.5,5.0,-2.5,0.13,2.6,1.80121,2.6,3,0.069282,0.0565635,139.832,-38.7362,0.263158,0,dudh
